serial_no,area_type,availability,location,size,total_sqft,bath,balcony,price,bedrooms,total_sqft_clean,price_rupees,price_per_sqft
11,Super built-up  Area,18-Feb,Whitefield,3 BHK,1800,2.0,2.0,70.0,3.0,1800.0,7000000.0,3888.89
28,Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3.0,2.0,81.0,3.0,1610.0,8100000.0,5031.06
53,Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3.0,2.0,91.0,3.0,2010.0,9100000.0,4527.36
399,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1910,3.0,2.0,161.0,3.0,1910.0,16100000.0,8429.32
539,Built-up  Area,20-Dec,Whitefield,3 BHK,1768,3.0,2.0,101.0,3.0,1768.0,10100000.0,5712.67
542,Plot  Area,18-Mar,Whitefield,3 Bedroom,1500,3.0,1.0,61.95,3.0,1500.0,6195000.0,4130.0
581,Super built-up  Area,Ready To Move,Whitefield,3 BHK,2500,3.0,2.0,313.0,3.0,2500.0,31300000.0,12520.0
617,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1790,3.0,2.0,100.0,3.0,1790.0,10000000.0,5586.59
623,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1720,3.0,3.0,100.0,3.0,1720.0,10000000.0,5813.95
712,Super built-up  Area,18-Sep,Whitefield,3 BHK,1640,4.0,2.0,91.0,3.0,1640.0,9100000.0,5548.78
748,Super built-up  Area,18-Dec,Whitefield,3 BHK,2280,4.0,2.0,126.0,3.0,2280.0,12600000.0,5526.32
774,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1650,3.0,2.0,60.0,3.0,1650.0,6000000.0,3636.36
897,Built-up  Area,18-Feb,Whitefield,3 BHK,1897,3.0,2.0,130.0,3.0,1897.0,13000000.0,6852.93
910,Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,2.0,1.0,125.0,3.0,2225.0,12500000.0,5617.98
1042,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1560,2.0,2.0,72.0,3.0,1560.0,7200000.0,4615.38
1138,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1985,3.0,2.0,75.0,3.0,1985.0,7500000.0,3778.34
1209,Super built-up  Area,18-Dec,Whitefield,3 BHK,1697,3.0,2.0,94.79,3.0,1697.0,9479000.0,5585.74
1255,Built-up  Area,Ready To Move,Whitefield,3 BHK,1700,3.0,2.0,115.0,3.0,1700.0,11500000.0,6764.71
1275,Built-up  Area,18-Jan,Whitefield,3 Bedroom,2842,3.0,2.0,162.0,3.0,2842.0,16200000.0,5700.21
1278,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1403,2.0,2.0,60.81,3.0,1403.0,6081000.0,4334.28
1327,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1485,3.0,2.0,65.0,3.0,1485.0,6500000.0,4377.1
1328,Plot  Area,18-May,Whitefield,3 Bedroom,1500,3.0,1.0,130.0,3.0,1500.0,13000000.0,8666.67
1458,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1405,2.0,1.0,78.0,3.0,1405.0,7800000.0,5551.6
1499,Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,3.0,3.0,115.0,3.0,2225.0,11500000.0,5168.54
1510,Built-up  Area,Ready To Move,Whitefield,3 BHK,1541,3.0,1.0,72.0,3.0,1541.0,7200000.0,4672.29
1667,Super built-up  Area,20-Dec,Whitefield,3 BHK,1306,3.0,2.0,54.65,3.0,1306.0,5465000.0,4184.53
1668,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1626,3.0,3.0,89.0,3.0,1626.0,8900000.0,5473.55
1670,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3.0,2.0,88.0,3.0,1585.0,8800000.0,5552.05
1734,Plot  Area,18-Dec,Whitefield,3 Bedroom,1200,3.0,2.0,68.5,3.0,1200.0,6850000.0,5708.33
1784,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1697,3.0,2.0,108.0,3.0,1697.0,10800000.0,6364.17
2380,Super built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3.0,3.0,92.0,3.0,2010.0,9200000.0,4577.11
2420,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1635,2.0,2.0,85.0,3.0,1635.0,8500000.0,5198.78
2447,Plot  Area,18-Aug,Whitefield,3 Bedroom,1200,3.0,2.0,56.2,3.0,1200.0,5620000.0,4683.33
2536,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1870,3.0,2.0,90.0,3.0,1870.0,9000000.0,4812.83
2782,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1800,3.0,2.0,110.0,3.0,1800.0,11000000.0,6111.11
2793,Super built-up  Area,20-Dec,Whitefield,3 BHK,1562,3.0,2.0,103.0,3.0,1562.0,10300000.0,6594.11
2839,Super built-up  Area,18-Dec,Whitefield,3 BHK,2321,4.0,1.0,128.0,3.0,2321.0,12800000.0,5514.86
2966,Built-up  Area,Ready To Move,Whitefield,3 BHK,1896,3.0,1.0,75.0,3.0,1896.0,7500000.0,3955.7
2984,Plot  Area,Ready To Move,Whitefield,3 Bedroom,3010,3.0,2.0,200.0,3.0,3010.0,20000000.0,6644.52
2995,Super built-up  Area,18-Feb,Whitefield,3 BHK,3850,5.0,2.0,316.0,3.0,3850.0,31600000.0,8207.79
3017,Built-up  Area,14-Nov,Whitefield,3 BHK,1410,3.0,2.0,43.71,3.0,1410.0,4371000.0,3100.0
3022,Built-up  Area,Ready To Move,Whitefield,3 BHK,1150,2.0,3.0,44.0,3.0,1150.0,4400000.0,3826.09
3336,Plot  Area,18-Dec,Whitefield,3 Bedroom,1500,3.0,1.0,71.8,3.0,1500.0,7180000.0,4786.67
3374,Super built-up  Area,18-Dec,Whitefield,3 BHK,1697,3.0,2.0,115.0,3.0,1697.0,11500000.0,6776.66
3461,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1520,2.0,2.0,150.0,3.0,1520.0,15000000.0,9868.42
3551,Built-up  Area,Ready To Move,Whitefield,3 BHK,1350,3.0,2.0,54.0,3.0,1350.0,5400000.0,4000.0
3712,Super built-up  Area,Ready To Move,Whitefield,3 BHK,1545,3.0,2.0,79.0,3.0,1545.0,7900000.0,5113.27
3798,Super built-up  Area,20-Jun,Whitefield,3 BHK,1306,3.0,2.0,54.65,3.0,1306.0,5465000.0,4184.53
3850,Super built-up  Area,20-Jun,Whitefield,3 BHK,1386,3.0,1.0,57.46,3.0,1386.0,5746000.0,4145.74
